V1	V3	V13	Protein.names	Organism	Gene.Ontology..biological.process.	Gene.Ontology.IDs
Ab_contig_1354	O73817	2.55e-47	Proteasome subunit beta type-3 (Proteasome chain 13) (Proteasome component C10-II) (Proteasome theta chain)	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	GO:0005634; GO:0005737; GO:0005839; GO:0019774; GO:0043161
Ab_contig_1355	Q9HAT2	2.32e-31	Sialate O-acetylesterase (EC 3.1.1.53) (H-Lse) (Sialic acid-specific 9-O-acetylesterase)	Homo sapiens (Human)	carbohydrate metabolic process [GO:0005975]; regulation of immune system process [GO:0002682]	GO:0001681; GO:0002682; GO:0005615; GO:0005764; GO:0005975; GO:0070062; GO:0106330; GO:0106331
Ab_contig_1365	Q7ZTY4	8.9e-50	Histone-binding protein RBBP7 (Retinoblastoma-binding protein 7) (RBBP-7)	Danio rerio (Zebrafish) (Brachydanio rerio)	chromatin remodeling [GO:0006338]; DNA replication [GO:0006260]; fin regeneration [GO:0031101]; hematopoietic progenitor cell differentiation [GO:0002244]; histone deacetylation [GO:0016575]; regulation of DNA-templated transcription [GO:0006355]	GO:0002244; GO:0005634; GO:0006260; GO:0006338; GO:0006355; GO:0016575; GO:0016581; GO:0031101; GO:0035098; GO:0042393
Ab_contig_1367	P60517	1.8899999999999998e-54	Gamma-aminobutyric acid receptor-associated protein (GABA(A) receptor-associated protein)	Rattus norvegicus (Rat)	autophagosome assembly [GO:0000045]; autophagy of mitochondrion [GO:0000422]; cellular response to nitrogen starvation [GO:0006995]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; macroautophagy [GO:0016236]; microtubule cytoskeleton organization [GO:0000226]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein K48-linked ubiquitination [GO:1902524]; protein transport [GO:0015031]; regulation of Rac protein signal transduction [GO:0035020]	GO:0000045; GO:0000139; GO:0000226; GO:0000421; GO:0000422; GO:0005764; GO:0005776; GO:0005790; GO:0005794; GO:0005829; GO:0005874; GO:0005875; GO:0005886; GO:0005930; GO:0006995; GO:0008017; GO:0008625; GO:0015031; GO:0015629; GO:0016236; GO:0031410; GO:0031625; GO:0032436; GO:0035020; GO:0044297; GO:0048471; GO:0048487; GO:0050811; GO:0097225; GO:1902524
Ab_contig_1379	P91778	1e-27	Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	Pecten maximus (King scallop) (Pilgrim's clam)	carbohydrate metabolic process [GO:0005975]	GO:0004556; GO:0005975; GO:0046872
Ab_contig_1384	P77735	1.7199999999999999e-34	1-deoxyxylulose-5-phosphate synthase YajO (EC 1.1.-.-)	Escherichia coli (strain K12)	thiamine metabolic process [GO:0006772]	GO:0005829; GO:0006772; GO:0016491
Ab_contig_1396	P13060	1.64e-30	Eukaryotic translation elongation factor 2 (Elongation factor 2) (EF-2)	Drosophila melanogaster (Fruit fly)	translational elongation [GO:0006414]	GO:0003746; GO:0003924; GO:0005525; GO:0005829; GO:0006414; GO:0043022; GO:1990904
Ab_contig_1407	Q3T084	1.63e-22	T-complex protein 1 subunit zeta-2 (TCP-1-zeta-2) (CCT-zeta-2)	Bos taurus (Bovine)		GO:0005524; GO:0005832; GO:0016887; GO:0051082; GO:0140662
Ab_contig_1414	O73817	5.97e-51	Proteasome subunit beta type-3 (Proteasome chain 13) (Proteasome component C10-II) (Proteasome theta chain)	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	GO:0005634; GO:0005737; GO:0005839; GO:0019774; GO:0043161
Ab_contig_1417	Q94519	8.27e-34	Acyl carrier protein, mitochondrial (ACP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit) (NADH-ubiquinone oxidoreductase acyl-carrier subunit)	Drosophila melanogaster (Fruit fly)	mitochondrial respiratory chain complex I assembly [GO:0032981]; protein lipoylation [GO:0009249]	GO:0000035; GO:0000036; GO:0005739; GO:0005747; GO:0009249; GO:0032981
Ab_contig_1418	P61917	8.650000000000001e-21	NPC intracellular cholesterol transporter 2 (EPI-1) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)	Pan troglodytes (Chimpanzee)	cholesterol efflux [GO:0033344]; cholesterol metabolic process [GO:0008203]; cholesterol transport [GO:0030301]; intracellular cholesterol transport [GO:0032367]; sterol transport [GO:0015918]	GO:0005615; GO:0005764; GO:0005783; GO:0008203; GO:0015485; GO:0015918; GO:0030301; GO:0032367; GO:0032934; GO:0033344
Ab_contig_1429	Q9WV92	3.0200000000000002e-22	Band 4.1-like protein 3 (4.1B) (Differentially expressed in adenocarcinoma of the lung protein 1) (DAL-1) (DAL1P) (mDAL-1) (Erythrocyte membrane protein band 4.1-like 3) [Cleaved into: Band 4.1-like protein 3, N-terminally processed]	Mus musculus (Mouse)	actomyosin structure organization [GO:0031032]; apoptotic process [GO:0006915]; axon development [GO:0061564]; cortical actin cytoskeleton organization [GO:0030866]; cortical cytoskeleton organization [GO:0030865]; myelin maintenance [GO:0043217]; neuron projection morphogenesis [GO:0048812]; paranodal junction assembly [GO:0030913]; paranodal junction maintenance [GO:1990227]; protein localization to juxtaparanode region of axon [GO:0071205]; protein localization to paranode region of axon [GO:0002175]; protein localization to plasma membrane [GO:0072659]; regulation of cell shape [GO:0008360]	GO:0002175; GO:0003779; GO:0005200; GO:0005829; GO:0005856; GO:0005886; GO:0005911; GO:0006915; GO:0008360; GO:0014069; GO:0030054; GO:0030865; GO:0030866; GO:0030913; GO:0031032; GO:0033270; GO:0043217; GO:0044224; GO:0048812; GO:0061564; GO:0071205; GO:0072659; GO:0106006; GO:1990227
Ab_contig_1434	Q5RFH3	1.75e-50	Nucleoside diphosphate kinase B (NDK B) (NDP kinase B) (EC 2.7.4.6) (Histidine protein kinase NDKB) (EC 2.7.13.3)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; integrin-mediated signaling pathway [GO:0007229]; negative regulation of apoptotic process [GO:0043066]; nucleoside diphosphate phosphorylation [GO:0006165]; nucleoside triphosphate biosynthetic process [GO:0009142]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of keratinocyte differentiation [GO:0045618]; positive regulation of transcription by RNA polymerase II [GO:0045944]; UTP biosynthetic process [GO:0006228]	GO:0001726; GO:0003677; GO:0003713; GO:0004550; GO:0004673; GO:0005524; GO:0005634; GO:0005737; GO:0006165; GO:0006183; GO:0006228; GO:0006241; GO:0007229; GO:0009142; GO:0019003; GO:0030027; GO:0043066; GO:0045618; GO:0045893; GO:0045944; GO:0046872; GO:0050679; GO:0051880; GO:0071944
Ab_contig_1440	Q9W3J5	1.13e-34	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	Drosophila melanogaster (Fruit fly)	phenylalanyl-tRNA aminoacylation [GO:0006432]	GO:0000049; GO:0000287; GO:0004826; GO:0005524; GO:0005737; GO:0006432; GO:0009328
Ab_contig_1448	P24495	4.029999999999999e-111	Proteasome subunit alpha type-2 (Macropain subunit C3) (Multicatalytic endopeptidase complex subunit C3) (xC3) (Proteasome component C3)	Xenopus laevis (African clawed frog)	ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0005634; GO:0005737; GO:0005839; GO:0006511; GO:0019773
Ab_contig_1449	P29341	2.6099999999999996e-37	Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)	Mus musculus (Mouse)	CRD-mediated mRNA stabilization [GO:0070934]; mRNA processing [GO:0006397]; negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900152]; negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:2000623]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of cytoplasmic translation [GO:2000767]; positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900153]; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060213]; RNA splicing [GO:0008380]; RNA-mediated gene silencing [GO:0031047]	GO:0000184; GO:0003723; GO:0003729; GO:0003730; GO:0005634; GO:0005737; GO:0005829; GO:0006397; GO:0008022; GO:0008143; GO:0008266; GO:0008380; GO:0010494; GO:0030027; GO:0030425; GO:0031047; GO:0031252; GO:0036464; GO:0045202; GO:0060213; GO:0070934; GO:0071013; GO:0106002; GO:1900152; GO:1900153; GO:1990124; GO:1990904; GO:2000623; GO:2000767
Ab_contig_1479	Q99766	2.4000000000000003e-21	ATP synthase subunit s, mitochondrial (ATP synthase-coupling factor B) (FB) (Distal membrane arm assembly complex 2-like protein) (Mitochondrial ATP synthase regulatory component factor B)	Homo sapiens (Human)	ATP biosynthetic process [GO:0006754]; proton transmembrane transport [GO:1902600]	GO:0005737; GO:0005743; GO:0006754; GO:0015078; GO:0045263; GO:0046872; GO:1902600
Ab_contig_1484	Q64331	4.74e-35	Unconventional myosin-VI (Protein twist) (Unconventional myosin-6)	Mus musculus (Mouse)	actin filament organization [GO:0007015]; cellular response to electrical stimulus [GO:0071257]; chemical synaptic transmission [GO:0007268]; dendrite development [GO:0016358]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; endocytosis [GO:0006897]; glutamate secretion [GO:0014047]; inner ear auditory receptor cell differentiation [GO:0042491]; inner ear development [GO:0048839]; inner ear morphogenesis [GO:0042472]; locomotory behavior [GO:0007626]; positive regulation of transcription by RNA polymerase II [GO:0045944]; postsynaptic neurotransmitter receptor internalization [GO:0098884]; presynaptic modulation of chemical synaptic transmission [GO:0099171]; protein targeting [GO:0006605]; regulation of secretion [GO:0051046]; regulation of synaptic plasticity [GO:0048167]; response to xenobiotic stimulus [GO:0009410]; sensory perception of sound [GO:0007605]; synapse assembly [GO:0007416]; vesicle transport along actin filament [GO:0030050]	GO:0000146; GO:0001726; GO:0005516; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005794; GO:0005829; GO:0005886; GO:0005902; GO:0005903; GO:0005905; GO:0006605; GO:0006897; GO:0007015; GO:0007268; GO:0007416; GO:0007605; GO:0007626; GO:0009410; GO:0012506; GO:0014047; GO:0014069; GO:0015629; GO:0016020; GO:0016358; GO:0016459; GO:0016591; GO:0030050; GO:0030139; GO:0030175; GO:0030330; GO:0030424; GO:0031410; GO:0031941; GO:0031965; GO:0031982; GO:0032587; GO:0032991; GO:0042472; GO:0042491; GO:0042802; GO:0043025; GO:0043231; GO:0045177; GO:0045202; GO:0045334; GO:0045944; GO:0048167; GO:0048471; GO:0048839; GO:0051015; GO:0051046; GO:0071257; GO:0098683; GO:0098685; GO:0098833; GO:0098871; GO:0098884; GO:0098978; GO:0099171
Ab_contig_1489	Q5NVM7	2.4899999999999992e-82	Protein transport protein Sec61 subunit alpha isoform 2 (Sec61 alpha-2)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	protein transport [GO:0015031]	GO:0005789; GO:0015031
Ab_contig_1491	Q9VHI4	3.0799999999999998e-34	Splicing factor 3B subunit 5 (Pre-mRNA-splicing factor SF3b 10 kDa subunit)	Drosophila melanogaster (Fruit fly)	mRNA splicing, via spliceosome [GO:0000398]; regulation of gene expression [GO:0010468]; spermatogenesis [GO:0007283]	GO:0000124; GO:0000398; GO:0005686; GO:0007283; GO:0010468; GO:0071011
Ab_contig_1492	P22534	4.23e-25	Endoglucanase A (EC 3.2.1.4) (Cellulase A) (Endo-1,4-beta-glucanase A)	Caldicellulosiruptor saccharolyticus (Caldocellum saccharolyticum)	cellulose catabolic process [GO:0030245]	GO:0008810; GO:0030245; GO:0030248
Ab_contig_1496	A2AX52	3.42e-38	Collagen alpha-4(VI) chain	Mus musculus (Mouse)	cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198]	GO:0005518; GO:0005576; GO:0005581; GO:0007155; GO:0030198; GO:0031012; GO:0032991; GO:0062023
Ab_contig_1496	A2AX52	3.6299999999999996e-38	Collagen alpha-4(VI) chain	Mus musculus (Mouse)	cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198]	GO:0005518; GO:0005576; GO:0005581; GO:0007155; GO:0030198; GO:0031012; GO:0032991; GO:0062023
Ab_contig_1496	A2AX52	1.8499999999999999e-28	Collagen alpha-4(VI) chain	Mus musculus (Mouse)	cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198]	GO:0005518; GO:0005576; GO:0005581; GO:0007155; GO:0030198; GO:0031012; GO:0032991; GO:0062023
Ab_contig_1496	A2AX52	5.8799999999999995e-24	Collagen alpha-4(VI) chain	Mus musculus (Mouse)	cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198]	GO:0005518; GO:0005576; GO:0005581; GO:0007155; GO:0030198; GO:0031012; GO:0032991; GO:0062023
Ab_contig_1496	A2AX52	6.28e-24	Collagen alpha-4(VI) chain	Mus musculus (Mouse)	cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198]	GO:0005518; GO:0005576; GO:0005581; GO:0007155; GO:0030198; GO:0031012; GO:0032991; GO:0062023
Ab_contig_1499	P00397	2.38e-37	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	Mus musculus (Mouse)	aerobic respiration [GO:0009060]; aging [GO:0007568]; cerebellum development [GO:0021549]; electron transport coupled proton transport [GO:0015990]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; respiratory electron transport chain [GO:0022904]; response to copper ion [GO:0046688]; response to electrical stimulus [GO:0051602]; response to oxidative stress [GO:0006979]	GO:0004129; GO:0005739; GO:0005743; GO:0005750; GO:0005751; GO:0006123; GO:0006979; GO:0007568; GO:0009060; GO:0015990; GO:0020037; GO:0021549; GO:0022904; GO:0045277; GO:0046688; GO:0046872; GO:0051602
Ab_contig_1505	Q8N6L1	2.97e-40	Keratinocyte-associated protein 2 (KCP-2) (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit KCP2) (Oligosaccharyl transferase subunit KCP2)	Homo sapiens (Human)	protein N-linked glycosylation [GO:0006487]; protein N-linked glycosylation via arginine [GO:0042543]	GO:0006487; GO:0008047; GO:0008250; GO:0042543
Ab_contig_1516	Q5NVM7	8.67e-43	Protein transport protein Sec61 subunit alpha isoform 2 (Sec61 alpha-2)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	protein transport [GO:0015031]	GO:0005789; GO:0015031
Ab_contig_1517	Q9CQ40	7.3e-40	39S ribosomal protein L49, mitochondrial (L49mt) (MRP-L49)	Mus musculus (Mouse)	mitochondrial translation [GO:0032543]	GO:0003735; GO:0005739; GO:0005743; GO:0005761; GO:0005762; GO:0032543
Ab_contig_1527	P02826	2.9199999999999995e-43	Heat shock 70 kDa protein cognate 1 (Heat shock 70 kDa protein 70C)	Drosophila simulans (Fruit fly)		GO:0005524; GO:0140662
Ab_contig_1536	O75439	2.9299999999999994e-98	Mitochondrial-processing peptidase subunit beta (EC 3.4.24.64) (Beta-MPP) (P-52)	Homo sapiens (Human)	mitochondrial calcium ion transmembrane transport [GO:0006851]; protein processing involved in protein targeting to mitochondrion [GO:0006627]	GO:0004222; GO:0005739; GO:0005743; GO:0006627; GO:0006851; GO:0017087; GO:0046872
Ab_contig_1546	Q6QLW4	6.21e-59	Cytochrome c	Pectinaria gouldii (Trumpet worm) (Ice-cream cone worm)		GO:0005758; GO:0009055; GO:0020037; GO:0046872; GO:0070469
Ab_contig_1556	P91778	2.4399999999999997e-24	Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	Pecten maximus (King scallop) (Pilgrim's clam)	carbohydrate metabolic process [GO:0005975]	GO:0004556; GO:0005975; GO:0046872
Ab_contig_1563	Q7Z0T3	1.73e-30	Temptin	Aplysia californica (California sea hare)		GO:0005186; GO:0005576
Ab_contig_1586	Q5ZMC0	1.74e-41	Endothelial differentiation-related factor 1 homolog (EDF-1)	Gallus gallus (Chicken)		GO:0003677; GO:0005634
Ab_contig_1623	Q2M2H8	1.29e-25	Probable maltase-glucoamylase 2 (Maltase-glucoamylase (alpha-glucosidase) pseudogene) [Includes: Glucoamylase (EC 3.2.1.3) (Glucan 1,4-alpha-glucosidase)]	Homo sapiens (Human)	carbohydrate metabolic process [GO:0005975]	GO:0004339; GO:0004553; GO:0004558; GO:0005975; GO:0016020; GO:0030246
Ab_contig_1630	P62870	3.8200000000000005e-27	Elongin-B (EloB) (Elongin 18 kDa subunit) (RNA polymerase II transcription factor SIII subunit B) (SIII p18) (Transcription elongation factor B polypeptide 2)	Rattus norvegicus (Rat)	positive regulation of transcription by RNA polymerase II [GO:0045944]; protein ubiquitination [GO:0016567]; transcription elongation by RNA polymerase II promoter [GO:0006368]; transcription initiation at RNA polymerase II promoter [GO:0006367]	GO:0001222; GO:0003713; GO:0005667; GO:0006367; GO:0006368; GO:0016567; GO:0030891; GO:0031462; GO:0031466; GO:0031625; GO:0044877; GO:0045944; GO:0070449
Ab_contig_1635	Q5R8W6	1.9e-26	Luc7-like protein 3 (Cisplatin resistance-associated-overexpressed protein)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	mRNA splice site selection [GO:0006376]; RNA splicing [GO:0008380]	GO:0003677; GO:0003729; GO:0005634; GO:0005685; GO:0006376; GO:0008380; GO:0016607
Ab_contig_1640	P39872	6.36e-48	60S ribosomal protein L3	Bos taurus (Bovine)	translation [GO:0006412]	GO:0003723; GO:0003735; GO:0005730; GO:0006412; GO:0022625
Ab_contig_1654	P42577	4.22e-27	Soma ferritin (EC 1.16.3.1)	Lymnaea stagnalis (Great pond snail) (Helix stagnalis)	cellular iron ion homeostasis [GO:0006879]; iron ion transport [GO:0006826]	GO:0004322; GO:0005737; GO:0006826; GO:0006879; GO:0008199
Ab_contig_1669	P91778	6.2099999999999984e-55	Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	Pecten maximus (King scallop) (Pilgrim's clam)	carbohydrate metabolic process [GO:0005975]	GO:0004556; GO:0005975; GO:0046872
Ab_contig_1683	P48376	7.13e-42	5-demethoxyubiquinone hydroxylase, mitochondrial (DMQ hydroxylase) (EC 1.14.99.60) (Clock abnormal protein 1) (Protein clk-1) (Ubiquinone biosynthesis monooxygenase COQ7)	Caenorhabditis elegans	adult behavior [GO:0030534]; cellular respiration [GO:0045333]; determination of adult lifespan [GO:0008340]; negative regulation of gene expression [GO:0010629]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of transcription by RNA polymerase II [GO:0000122]; oxidative phosphorylation [GO:0006119]; positive regulation of behavior [GO:0048520]; positive regulation of developmental process [GO:0051094]; positive regulation of gene expression [GO:0010628]; positive regulation of growth rate [GO:0040010]; positive regulation of nematode larval development [GO:0061063]; positive regulation of protein oxidation [GO:1904808]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of gene expression [GO:0010468]; regulation of reactive oxygen species metabolic process [GO:2000377]; reproduction [GO:0000003]; response to xenobiotic stimulus [GO:0009410]; ubiquinone biosynthetic process [GO:0006744]	GO:0000003; GO:0000122; GO:0000976; GO:0001933; GO:0001934; GO:0005634; GO:0005739; GO:0005743; GO:0006119; GO:0006744; GO:0008340; GO:0008682; GO:0009410; GO:0010468; GO:0010628; GO:0010629; GO:0016709; GO:0030534; GO:0031314; GO:0040010; GO:0045333; GO:0045944; GO:0046872; GO:0048520; GO:0051094; GO:0061063; GO:1904808; GO:2000377
Ab_contig_1687	Q5R592	5.63e-49	DNA-directed RNA polymerases I, II, and III subunit RPABC2 (RNA polymerases I, II, and III subunit ABC2) (DNA-directed RNA polymerase II subunit F) (RPB6 homolog)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	transcription by RNA polymerase II [GO:0006366]	GO:0003677; GO:0003899; GO:0005634; GO:0005665; GO:0006366
Ab_contig_1692	P54369	1.13e-33	Ornithine decarboxylase antizyme 1 (ODC-Az)	Mus musculus (Mouse)	negative regulation of polyamine transmembrane transport [GO:1902268]; polyamine biosynthetic process [GO:0006596]; polyamine metabolic process [GO:0006595]; positive regulation of intracellular protein transport [GO:0090316]; positive regulation of protein catabolic process [GO:0045732]; regulation of catalytic activity [GO:0050790]	GO:0005634; GO:0005737; GO:0006595; GO:0006596; GO:0008073; GO:0019899; GO:0044877; GO:0045732; GO:0050790; GO:0090316; GO:1902268
Ab_contig_1700	O70152	4.199999999999999e-101	Dolichol-phosphate mannosyltransferase subunit 1 (EC 2.4.1.83) (Dolichol-phosphate mannose synthase subunit 1) (DPM synthase subunit 1) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 1) (Mannose-P-dolichol synthase subunit 1) (MPD synthase)	Mus musculus (Mouse)	dolichol metabolic process [GO:0019348]; dolichol-linked oligosaccharide biosynthetic process [GO:0006488]; GDP-mannose metabolic process [GO:0019673]; GPI anchor biosynthetic process [GO:0006506]; protein mannosylation [GO:0035268]; protein O-linked mannosylation [GO:0035269]	GO:0004169; GO:0004582; GO:0005537; GO:0005783; GO:0005789; GO:0006488; GO:0006506; GO:0016020; GO:0019348; GO:0019673; GO:0033185; GO:0035268; GO:0035269; GO:0043178; GO:0043231; GO:0046872
Ab_contig_1703	A6QQ21	1.3599999999999997e-83	COP9 signalosome complex subunit 6 (SGN6) (Signalosome subunit 6)	Bos taurus (Bovine)	protein deneddylation [GO:0000338]	GO:0000338; GO:0005737; GO:0008180; GO:0008237
Ab_contig_1719	O01814	2.05e-25	Fatty acid-binding protein homolog 5	Caenorhabditis elegans	fatty acid transport [GO:0015908]	GO:0005504; GO:0005634; GO:0005829; GO:0015908; GO:0048471
Ab_contig_1723	P25784	1.83e-36	Digestive cysteine proteinase 3 (EC 3.4.22.-)	Homarus americanus (American lobster)	proteolysis [GO:0006508]	GO:0006508; GO:0008234
Ab_contig_1725	Q5R439	7.33e-27	Vigilin (High density lipoprotein-binding protein) (HDL-binding protein)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	cholesterol metabolic process [GO:0008203]; lipid transport [GO:0006869]	GO:0003723; GO:0005634; GO:0005737; GO:0006869; GO:0008203; GO:0034364
Ab_contig_1743	P24369	5.5900000000000005e-33	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP)	Mus musculus (Mouse)	bone development [GO:0060348]; chaperone-mediated protein folding [GO:0061077]; neutrophil chemotaxis [GO:0030593]; positive regulation by host of viral genome replication [GO:0044829]; positive regulation by host of viral process [GO:0044794]; positive regulation of multicellular organism growth [GO:0040018]; protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]; protein stabilization [GO:0050821]	GO:0000413; GO:0003755; GO:0005654; GO:0005737; GO:0005783; GO:0005788; GO:0005790; GO:0006457; GO:0016018; GO:0030593; GO:0032991; GO:0034663; GO:0040018; GO:0042470; GO:0043231; GO:0044794; GO:0044829; GO:0048471; GO:0050821; GO:0060348; GO:0061077; GO:0070063
Ab_contig_1761	Q3ZCI9	1.45e-33	T-complex protein 1 subunit theta (TCP-1-theta) (CCT-theta)	Bos taurus (Bovine)	protein folding [GO:0006457]	GO:0005524; GO:0005815; GO:0005832; GO:0005929; GO:0006457; GO:0016887; GO:0051082; GO:0140662
Ab_contig_1786	P55097	3.3e-33	Cathepsin K (EC 3.4.22.38)	Mus musculus (Mouse)	bone resorption [GO:0045453]; cellular response to transforming growth factor beta stimulus [GO:0071560]; cellular response to tumor necrosis factor [GO:0071356]; cellular response to zinc ion starvation [GO:0034224]; collagen catabolic process [GO:0030574]; immune response [GO:0006955]; intramembranous ossification [GO:0001957]; mononuclear cell differentiation [GO:1903131]; negative regulation of cartilage development [GO:0061037]; proteolysis [GO:0006508]; proteolysis involved in protein catabolic process [GO:0051603]; response to ethanol [GO:0045471]; response to insulin [GO:0032868]; response to organic cyclic compound [GO:0014070]; thyroid hormone generation [GO:0006590]	GO:0001957; GO:0001968; GO:0004197; GO:0005518; GO:0005615; GO:0005654; GO:0005737; GO:0005764; GO:0006508; GO:0006590; GO:0006955; GO:0008234; GO:0009897; GO:0014070; GO:0016324; GO:0030574; GO:0032868; GO:0034224; GO:0043231; GO:0043394; GO:0045453; GO:0045471; GO:0051603; GO:0061037; GO:0071356; GO:0071560; GO:1903131
Ab_contig_1793	P18700	8.179999999999999e-69	Tubulin beta chain (Beta-tubulin)	Strongylocentrotus purpuratus (Purple sea urchin)	microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]	GO:0000226; GO:0000278; GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874
Ab_contig_1825	Q5E9K0	1.44e-51	Proteasome subunit beta type-2	Bos taurus (Bovine)	proteasomal protein catabolic process [GO:0010498]	GO:0005634; GO:0005654; GO:0005737; GO:0005839; GO:0010498; GO:0019774
Ab_contig_1826	P50174	1.61e-36	Acetyl-CoA acetyltransferase (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (Beta-ketothiolase)	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	poly-hydroxybutyrate biosynthetic process [GO:0042619]	GO:0003985; GO:0005737; GO:0042619
Ab_contig_1831	Q8VE97	2.88e-43	Serine/arginine-rich splicing factor 4 (Splicing factor, arginine/serine-rich 4)	Mus musculus (Mouse)	hematopoietic progenitor cell differentiation [GO:0002244]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]	GO:0000398; GO:0002244; GO:0003723; GO:0003729; GO:0005634; GO:0016607; GO:0048025; GO:1990825
Ab_contig_1842	P12762	5.76e-28	Aldehyde dehydrogenase, mitochondrial (EC 1.2.1.3) (ALDH class 2) (ALDH-E2) (ALDHI)	Equus caballus (Horse)	aldehyde catabolic process [GO:0046185]; ethanol catabolic process [GO:0006068]; regulation of dopamine biosynthetic process [GO:1903179]; regulation of serotonin biosynthetic process [GO:1905627]	GO:0004029; GO:0005739; GO:0005759; GO:0006068; GO:0008957; GO:0018547; GO:0043878; GO:0046185; GO:0051287; GO:0052689; GO:1903179; GO:1905627
Ab_contig_1844	Q6NP60	2.97e-22	MOXD1 homolog 2	Drosophila melanogaster (Fruit fly)	dopamine catabolic process [GO:0042420]; norepinephrine biosynthetic process [GO:0042421]; octopamine biosynthetic process [GO:0006589]	GO:0004500; GO:0005507; GO:0005615; GO:0005829; GO:0006589; GO:0030667; GO:0042420; GO:0042421
Ab_contig_1849	P26221	1.25e-30	Endoglucanase E-4 (EC 3.2.1.4) (Cellulase E-4) (Cellulase E4) (Endo-1,4-beta-glucanase E-4)	Thermobifida fusca (Thermomonospora fusca)	cellulose catabolic process [GO:0030245]	GO:0008810; GO:0030245; GO:0030248
Ab_contig_1857	Q5ZMD6	1.67e-42	Histone H2A.Z (H2A/z)	Gallus gallus (Chicken)		GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
Ab_contig_1880	Q02372	3.24e-43	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial (Complex I-ASHI) (CI-ASHI) (NADH-ubiquinone oxidoreductase ASHI subunit)	Bos taurus (Bovine)	mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]	GO:0005747; GO:0006120; GO:0032981
